NCM;InicioVigencia;FimVigencia
62029200;01/01/2016;31/03/2022
62029300;01/01/2016;31/03/2022
62029900;01/01/2016;31/03/2022
68129200;01/01/2016;31/03/2022
68129300;01/01/2016;31/03/2022
68151010;01/01/2016;31/03/2022
68151020;01/01/2016;31/03/2022
68151090;01/01/2016;31/03/2022
70193100;01/01/2016;31/03/2022
70193200;01/01/2016;31/03/2022
70193900;01/01/2016;31/03/2022
70194000;01/01/2016;31/03/2022
70195100;01/01/2016;31/03/2022
70195210;01/01/2016;31/03/2022
70195290;01/01/2016;31/03/2022
70195900;01/01/2016;31/03/2022
70199010;01/01/2016;31/03/2022
70199090;01/01/2016;31/03/2022
71042010;01/01/2016;31/03/2022
71042090;01/01/2016;31/03/2022
71049000;01/01/2016;31/03/2022
74191000;01/01/2016;31/03/2022
74199100;01/01/2016;31/03/2022
74199910;01/01/2016;31/03/2022
74199920;01/01/2016;31/03/2022
74199930;01/01/2016;31/03/2022
74199940;01/07/2021;31/03/2022
74199990;01/01/2016;31/03/2022
81039000;01/01/2016;31/03/2022
81060010;01/01/2016;31/03/2022
81060090;01/01/2016;31/03/2022
81072010;01/01/2016;31/03/2022
81072020;01/01/2016;31/03/2022
81073000;01/01/2016;31/03/2022
81079000;01/01/2016;31/03/2022
81092000;01/01/2016;31/03/2022
81093000;01/01/2016;31/03/2022
81099000;01/01/2016;31/03/2022
84191910;01/01/2016;31/03/2022
84191990;01/01/2016;31/03/2022
84193100;01/01/2016;31/03/2022
84193200;01/01/2016;31/03/2022
84213920;01/01/2016;31/03/2022
84621011;01/01/2016;31/03/2022
84621019;01/01/2016;31/03/2022
84621090;01/01/2016;31/03/2022
84622100;01/01/2016;31/03/2022
84623100;01/01/2016;31/03/2022
84623910;01/01/2016;31/03/2022
84623990;01/01/2016;31/03/2022
84624100;01/01/2016;31/03/2022
84629111;01/01/2016;31/03/2022
84629119;01/01/2016;31/03/2022
84629191;01/01/2016;31/03/2022
84629199;01/01/2016;31/03/2022
84629910;01/01/2016;31/03/2022
84629920;01/01/2016;31/03/2022
84629990;01/01/2016;31/03/2022
84669430;01/01/2016;31/03/2022
84705011;01/01/2016;31/03/2022
84705019;01/01/2016;31/03/2022
84714110;01/01/2016;31/03/2022
84714190;01/01/2016;31/03/2022
84717011;01/01/2016;31/03/2022
84717012;01/01/2016;31/03/2022
84717019;01/01/2016;31/03/2022
84717021;01/01/2016;31/03/2022
84717029;01/01/2016;31/03/2022
84717032;01/01/2016;31/03/2022
84717033;01/01/2016;31/03/2022
84717039;01/01/2016;31/03/2022
84729021;01/01/2016;31/03/2022
84729029;01/01/2016;31/03/2022
84733043;01/01/2016;31/03/2022
84733092;01/01/2016;31/03/2022
84733099;01/01/2016;31/03/2022
85074000;01/01/2016;31/03/2022
85141010;01/01/2016;31/03/2022
85141090;01/01/2016;31/03/2022
85143011;01/01/2016;31/03/2022
85143019;01/01/2016;31/03/2022
85143021;01/01/2016;31/03/2022
85143029;01/01/2016;31/03/2022
85143090;01/01/2016;31/03/2022
85171211;01/01/2016;31/03/2022
85171212;01/01/2016;31/03/2022
85171213;01/01/2016;31/03/2022
85171219;01/01/2016;31/03/2022
85171221;01/01/2016;31/03/2022
85171222;01/01/2016;31/03/2022
85171223;01/01/2016;31/03/2022
85171229;01/01/2016;31/03/2022
85171231;01/01/2016;31/03/2022
85171232;01/01/2016;31/03/2022
85171233;01/01/2016;31/03/2022
85171239;01/01/2016;31/03/2022
85171241;01/01/2016;31/03/2022
85171249;01/01/2016;31/03/2022
85171290;01/01/2016;31/03/2022
85171810;01/01/2016;31/03/2022
85171820;01/01/2016;31/03/2022
85171891;01/01/2016;31/03/2022
85171899;01/01/2016;31/03/2022
85176111;01/01/2016;31/03/2022
85176119;01/01/2016;31/03/2022
85176120;01/01/2016;31/03/2022
85176211;01/01/2016;31/03/2022
85176212;01/01/2016;31/03/2022
85176213;01/01/2016;31/03/2022
85176219;01/01/2016;31/03/2022
85176222;01/01/2016;31/03/2022
85176223;01/01/2016;31/03/2022
85176224;01/01/2016;31/03/2022
85176231;01/01/2016;31/03/2022
85176232;01/01/2016;31/03/2022
85176233;01/01/2016;31/03/2022
85176248;01/01/2016;31/03/2022
85176261;01/01/2016;31/03/2022
85176271;01/01/2016;31/03/2022
85176292;01/01/2016;31/03/2022
85176293;01/01/2016;31/03/2022
85176295;01/01/2016;31/03/2022
85177010;01/01/2016;31/03/2022
85177021;01/01/2016;31/03/2022
85177029;01/01/2016;31/03/2022
85177091;01/01/2016;31/03/2022
85177092;01/01/2016;31/03/2022
85177099;01/01/2016;31/03/2022
85195000;01/01/2016;31/03/2022
85229020;01/01/2016;31/03/2022
